video_id,comment,comment_date
xJlgtV8L7Jc,Next Singapore execution politician couple scandal,2023-07-27T04:15:28Z
xJlgtV8L7Jc,what a barbaric law. even their own people are struggling to make ends meet.,2023-07-27T03:44:12Z
xJlgtV8L7Jc,We need that law here in the Philippines but the idiot Democratic party won't pass it.,2023-07-27T02:32:03Z
xJlgtV8L7Jc,I love the background music,2023-07-27T02:15:26Z
xJlgtV8L7Jc,based,2023-07-27T01:35:57Z
xJlgtV8L7Jc,"30 grams for death penality? 30 grams is probably less than what my junk neighbors snort in a month. How do you get the drug? Its free, the Canadian Government gives to them.",2023-07-27T00:28:34Z
xJlgtV8L7Jc,only the unattractive people protest it seems like.,2023-07-26T23:17:20Z
xJlgtV8L7Jc,"hanging, who says death penalty has to cost more than keeping violent criminals in jail for life. We need this in the US for violent criminals and corrupted politicians.",2023-07-26T23:11:14Z
xJlgtV8L7Jc,Hence she/they knew how to traffic I'd suggest them to be sentenced to deliver the same amount (minus the officially allowed amount) for public use in hospitals and additionaly fine them with all related transportation/delivery expenses (including the persons hired to do so). It seems inmodest to hang someone after this many years for such an amount in comparison to the amount allowed.,2023-07-26T20:45:54Z
xJlgtV8L7Jc,"Knowing there's a death penalty for drug trafficking in Singapore. Yet, still decides to do it anyway. Imagine there no death penalty. It would be rampant. Singapore is so successful for a reason. STRICT.",2023-07-26T19:47:34Z
xJlgtV8L7Jc,Under the gloss and steel and glass: a corporate dictatorship,2023-07-26T17:50:30Z
xJlgtV8L7Jc,"Don't let your country become like US....zombie on the streets everywhere...
Drugs make them become useless..destroy families..burden of societies and country...",2023-07-26T16:19:40Z
xJlgtV8L7Jc,"hanging/execution is not the problem, it's how long the court cases get dragged out...",2023-07-26T16:17:32Z
xJlgtV8L7Jc,If only they had this stance with child molesters and human traffickers.,2023-07-26T16:08:43Z
xJlgtV8L7Jc,"As long as the guilty is truly guilty, this is simply justice",2023-07-26T16:04:45Z
xJlgtV8L7Jc,stay firm singapor!!,2023-07-26T15:49:27Z
xJlgtV8L7Jc,"I am not too fond of the death penalty but in this case you must look into situation ethics. Think about the families who lose their children and loved ones to drug addiction every day. These drug traffickers are essentially profiting off of death, and the death penalty may well be seen as the only way that justice can be reached. Think about the drug epidemic which is ravaging the western world compared to a relatively safe Singapore",2023-07-26T15:42:36Z
xJlgtV8L7Jc,Well at least it makes drugs in SEA so expensive and less accessible to the general public unlike those in some other part of the world like US = less individuals / families destroyed by drug,2023-07-26T15:35:52Z
xJlgtV8L7Jc,People know the punishment yet they cry about it when they get caught.and then the do goodes are up in arm .tough .you rolled the dice now pay up,2023-07-26T15:01:53Z
